127.0.0.1, 2015-04-27 21:58:55, GET, /, HTTP/1.1, 303, 0.006367
127.0.0.1, 2015-04-27 21:58:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.552926
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/default/design/welcome, HTTP/1.1, 303, 0.810915
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/default/index, HTTP/1.1, 200, 0.108374
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/static/_2.10.3/js/jquery.js, HTTP/1.1, 200, 0.016414
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/static/_2.10.3/css/calendar.css, HTTP/1.1, 200, 0.024094
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/static/_2.10.3/js/calendar.js, HTTP/1.1, 200, 0.001828
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/static/_2.10.3/js/web2py.js, HTTP/1.1, 200, 0.036113
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/static/_2.10.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.051041
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/static/_2.10.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.052790
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/static/_2.10.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.051000
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/static/_2.10.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.000729
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/static/_2.10.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000593
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/static/_2.10.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001771
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/static/_2.10.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000904
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/static/_2.10.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.000781
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/static/_2.10.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001674
127.0.0.1, 2015-04-27 21:59:11, GET, /admin/static/_2.10.3/images/questions.png, HTTP/1.1, 200, 0.014132
127.0.0.1, 2015-04-27 21:59:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000375
127.0.0.1, 2015-04-27 21:59:14, POST, /admin/default/index, HTTP/1.1, 303, 0.059881
127.0.0.1, 2015-04-27 21:59:15, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.114395
127.0.0.1, 2015-04-27 21:59:15, GET, /admin/static/_2.10.3/images/search.png, HTTP/1.1, 200, 0.000448
127.0.0.1, 2015-04-27 21:59:15, GET, /admin/static/_2.10.3/images/help.png, HTTP/1.1, 200, 0.001117
127.0.0.1, 2015-04-27 21:59:15, GET, /admin/static/_2.10.3/images/delete_icon.png, HTTP/1.1, 200, 0.000839
127.0.0.1, 2015-04-27 21:59:15, GET, /admin/static/_2.10.3/images/test_icon.png, HTTP/1.1, 200, 0.000452
127.0.0.1, 2015-04-27 21:59:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000442
127.0.0.1, 2015-04-27 22:00:46, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.500887
127.0.0.1, 2015-04-27 22:00:46, GET, /admin/static/_2.10.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.023047
127.0.0.1, 2015-04-27 22:00:46, GET, /admin/static/_2.10.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.114893
127.0.0.1, 2015-04-27 22:00:46, GET, /admin/static/_2.10.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.105416
127.0.0.1, 2015-04-27 22:00:46, GET, /admin/static/_2.10.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.047132
127.0.0.1, 2015-04-27 22:00:46, GET, /admin/static/_2.10.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.115648
127.0.0.1, 2015-04-27 22:00:47, GET, /admin/static/_2.10.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001019
127.0.0.1, 2015-04-27 22:00:47, GET, /admin/static/_2.10.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.003048
127.0.0.1, 2015-04-27 22:00:47, GET, /admin/static/_2.10.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002128
127.0.0.1, 2015-04-27 22:00:47, GET, /admin/static/_2.10.3/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001202
